GEOID,poverty_population_diff,median_household_income_diff,median_gross_rent_diff,median_home_value_diff,bachelors_or_higher_diff,median_household_income_2010_on_2020,median_household_income_2020,gentrification_score
17031490600,-6.0,1976.0,710.0,-36500.0,144.0,45566.0,47542.0,1.031243298561936
17031490800,181.59818948292693,6173.851436049459,19.03003806041272,-18597.737414711213,202.51938822813247,35446.14856395054,41620.0,-1.4848006063658057
17031490901,-671.0,4739.0,232.0,-37500.0,-53.0,26667.0,31406.0,-0.41450869672031493
17031490902,-1007.0,8141.0,98.0,6700.0,220.0,45088.0,53229.0,1.086814444556828
17031491000,-2320.0,-7424.0,-251.0,-24200.0,86.0,30679.0,23255.0,-0.35116716521386615
17031491300,-694.0,4669.0,364.0,-45900.0,73.0,32610.0,37279.0,0.3835696775790448
17031491400,30.0,-5584.0,235.0,-46400.0,15.0,39583.0,33999.0,-2.0170394237446767
17031500100,-571.4799274104107,19646.522065259764,146.30638038965265,-3846.846748358861,499.12499688998696,41884.47793474024,61531.0,1.9984969617587356
17031500200,89.0,11159.0,-49.0,8600.0,105.0,22750.0,33909.0,-1.1753487470421278
17031500300,-121.0,1538.0,123.0,11300.0,142.0,43000.0,44538.0,-0.6297788214304065
17031510100,-278.0,-3354.0,95.0,-62200.0,72.0,38771.0,35417.0,-2.114567702805775
17031510200,373.0,-5266.0,-244.0,-19500.0,389.0,46516.0,41250.0,-3.136978723426486
17031510300,-1099.5200725895893,-13353.522065259756,216.69361961034733,-8553.153251641139,-246.12499688998696,40026.52206525976,26673.0,-1.1224837742074414
17031520200,-983.0,14291.0,-13.0,-39100.0,89.0,26976.0,41267.0,-0.04526512087190421
17031520300,-1587.0,2639.0,126.0,-17500.0,-35.0,40089.0,42728.0,0.6428213347230584
17031530100,-888.0,5323.0,100.0,-19800.0,-49.0,28559.0,33882.0,-0.3578646744318059
17031530200,-1462.0,16003.0,162.0,-32600.0,201.0,29071.0,45074.0,1.8821137218907027
17031530300,-612.0,6989.0,-315.0,-9300.0,-54.0,38125.0,45114.0,-2.2659368273650187
17031570300,51.0,626.0,75.0,-47600.0,-11.0,44412.0,45038.0,-2.4125118165723607
17031570400,158.0,21072.0,200.0,-105800.0,-27.0,40203.0,61275.0,-1.613645035032405
17031570500,-189.0,6831.0,22.0,-44100.0,16.0,36549.0,43380.0,-1.772923602921102
17031580100,-263.0,8269.0,181.0,52700.0,8.0,35064.0,43333.0,0.5129173410178276
17031580200,-418.0,4944.0,97.0,-27200.0,41.0,36893.0,41837.0,-0.9345681267460624
17031580300,28.0,29059.0,60.0,-15900.0,-7.0,34087.0,63146.0,-0.1253560690503005
17031580400,814.0,18059.0,63.0,-800.0,87.0,33375.0,51434.0,-1.4686603490336356
17031580501,-1194.0,714.0,45.0,-40000.0,172.0,40997.0,41711.0,-0.17110790397028783
17031580600,-1205.0,1079.0,-22.0,-50600.0,278.0,40904.0,41983.0,-0.29411241452404635
17031580700,370.0,11701.0,145.0,-34500.0,193.0,40125.0,51826.0,-1.119256557807128
17031580800,400.0,18568.0,160.0,-12300.0,93.0,37432.0,56000.0,-0.5893653156413468
17031590600,-187.0,20693.0,104.0,-52100.0,487.0,41932.0,62625.0,0.5941947625999349
17031590700,398.0,25991.0,114.0,29100.0,198.0,39500.0,65491.0,0.5874004098648655
17031600400,-477.0,11174.0,250.0,38000.0,494.0,41543.0,52717.0,2.3633234017334903
17031600600,609.0,4888.0,88.0,94300.0,116.0,33678.0,38566.0,-0.439289696395463
17031600700,373.0,17598.0,482.0,95100.0,404.0,33563.0,51161.0,3.166306452451503
17031600900,-145.0,21395.0,321.0,13500.0,264.0,39725.0,61120.0,1.885526506274866
17031610300,571.0,537.0,117.0,-41600.0,243.0,29330.0,29867.0,-2.218919577385508
17031610400,17.0,12094.0,184.0,-97400.0,98.0,30424.0,42518.0,-1.6079498488255248
17031611200,-96.0,-5014.0,-15.0,-58100.0,22.0,34875.0,29861.0,-3.0197611137948432
17031611300,-486.0,5065.0,87.0,-61800.0,-39.0,26685.0,31750.0,-1.5957858000637837
17031611400,-1036.0,13886.0,124.0,-77700.0,-33.0,24031.0,37917.0,-0.3062607772479534
17031611500,-715.570148384189,1669.4302846244536,23.548486142739307,-96719.59009827329,-10.086778868390958,32526.569715375543,34196.0,-2.1997517558259694
17031611700,-294.5530414921964,-14607.6487704606,-85.82996574038827,-70667.39855348304,-34.99010277883517,27028.6487704606,12421.0,-3.9959677628775943
17031611800,-112.0,10353.0,-66.0,-58300.0,-25.0,31968.0,42321.0,-2.3472870764164053
17031611900,-912.0,-2641.0,-128.0,,-70.0,32849.0,30208.0,
17031612000,-475.0,8665.0,-710.0,-54900.0,63.0,23689.0,32354.0,-4.398965116389336
17031612100,-593.0,-7104.0,69.0,-80700.0,-49.0,28632.0,21528.0,-2.6134275335693293
17031612200,480.0,-13773.0,-710.0,-97900.0,17.0,41155.0,27382.0,-7.963809971528376
17031620200,-337.0,3953.0,205.0,-73700.0,18.0,44699.0,48652.0,-1.4027956354171194
